
 Lista de Imóveis da Caixa;;Data de geração:;12/12/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444405322578 ;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;153.487,18;250.671,32;38.77;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405322578
 1444408171750 ;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO MISSISSIPI, N. 315, LT 31 QD 21 ;174.020,80;300.000,00;42.00;Casa, 0.00 de área total, 178.15 de área privativa, 1010.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408171750
 10215795 ;SP ;AGUAS DE SANTA BARBARA ;THERMAS DE SANTA BARBARA ;RUA 161, N. 00, QD DV, LT 30, ESQUINA COM RUA 186 ;322.481,04;506.000,00;36.27;Casa, 0.00 de área total, 143.65 de área privativa, 432.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215795
 8444415793220 ;SP ;AGUDOS ;PARQUE PAMPULHA ; RUA BUDAPEST, N. 110, LT C04 QD 36 ;96.592,92;163.000,00;40.75;Casa, 48.01 de área total, 48.01 de área privativa, 192.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415793220
 8787708140622 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA 05 (PROJETADA), N. 325, QD 14 LT 41 ;105.710,61;118.091,60;10.49;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708140622
 8444427686050 ;SP ;ALVARES MACHADO ;ALVARES MACHADO ; AVENIDA CASTRO ALVES, N. S/N, LT 42A, QD P ;43.055,41;74.117,10;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 154.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427686050
 8444424185050 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA ALCIDES MORANI, N. SN, LT 08A QD N ;59.239,86;60.000,00;1.27;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424185050
 8444419357018 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA GRACA ARANHA, N. 74, LT 05A QD D ;150.000,00;150.000,00;0.00;Prédio, 55.45 de área total, 55.45 de área privativa, 126.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419357018
 8444427749906 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA LAURA DA SILVA SOARES, N. 53, LT 12-A QD M ;107.318,74;61.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 138.24 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427749906
 8444409326268 ;SP ;ALVARO DE CARVALHO ;CENTRO ;RUA ANTONIO PANTAROTO, N. 27, LT 19 QD 2AP ;25.485,03;80.000,00;68.15;Casa, 0.00 de área total, 54.50 de área privativa, 290.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409326268
 8555539174680 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, BL 31 VAGA N 567 ;113.735,51;193.000,00;41.07;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539174680
 8787703578140 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 407, BL 08 VG 335 ;103.111,46;174.000,00;40.75;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703578140
 8787707314465 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 106, BL 08 ;94.975,14;160.270,00;40.75;Apartamento, 90.59 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707314465
 8555538122199 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, ;139.015,11;230.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538122199
 8555538163260 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 403, 3º PAVIMENTO - BLOCO 03 ;113.025,32;187.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538163260
 8555539186611 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 303, ;114.234,15;189.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555539186611
 8787704814386 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 108, BL 21 ;113.629,74;188.000,00;39.56;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704814386
 8787706921368 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 302, BL 14 VAGA 747 ;113.025,32;187.000,00;39.56;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706921368
 8787707542182 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 14 GLB A3B ;114.834,94;189.994,00;39.56;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707542182
 8787709407886 ;SP ;AMERICANA ;BALSA ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 04, BL I ;123.300,35;204.000,00;39.56;Apartamento, 54.90 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709407886
 8787709827400 ;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 04, BL 3 ;116.651,81;193.000,00;39.56;Apartamento, 0.00 de área total, 45.16 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709827400
 8444410024580 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 802, BLOCO 08, VG N 169 ;121.510,16;198.000,00;38.64;Apartamento, 56.26 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410024580
