id_imovel;data_analise;endereco;bairro;cidade;tipo_imovel;area_privativa_m2;quartos;vagas;link_imovel;valor_avaliacao;valor_minimo_leilao;desconto_percentual;tipo_leilao;data_leilao;modalidade;edital_ocupacao;edital_debitos_iptu;edital_debitos_condominio;edital_outros_debitos;edital_total_debitos;edital_comissao_leiloeiro_pct;edital_prazo_pagamento;edital_riscos;edital_score;matricula_numero;matricula_cartorio;matricula_gravames_extintos;matricula_gravames_transferidos;matricula_valor_gravames;matricula_irregularidades;matricula_score;mercado_preco_m2_regiao;mercado_preco_m2_min;mercado_preco_m2_max;mercado_valor_estimado;mercado_valor_min;mercado_valor_max;mercado_condominio_mensal;mercado_iptu_mensal;mercado_aluguel_estimado;mercado_liquidez;mercado_demanda;mercado_tempo_venda_medio_dias;mercado_fonte;mercado_confianca;mercado_amostras;custo_valor_arrematacao;custo_comissao_leiloeiro;custo_itbi;custo_escritura;custo_registro;custo_certidoes;custo_advocaticios;custo_desocupacao;custo_debitos_edital;custo_gravames_matricula;custo_reforma_estimado;custo_total_aquisicao;investimento_total;manutencao_total_6m;investimento_total_6m;venda_comissao_corretor;venda_irpf_ganho_capital;venda_custos_totais;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;cenario_roi_mensal;cenario_margem_seguranca;score_edital;score_matricula;score_localizacao;score_financeiro;score_liquidez;score_geral;recomendacao;nivel_risco;justificativa;pontos_atencao;proximos_passos
 8787703220156 ;2025-12-13;RUA PEDRA BRANCA DO AMAPARI, N. 1800, Apto 211, PAV 2, TORRE 3;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;Apartamento;49.58;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703220156;195000.0;100181.53;48.63;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4300;3655;4945;213194.0;181214.9;245173.1;360;85;1735.3;media;media;90;base_regional;media;50;100181.53;5009.08;3005.45;2200;1800;800.0;4000;10000;15000;0;14874.0;56688.53;156870.06;3570;160440.06;12152.06;4491.33;16643.39;202534.3;25450.86;15.86;2.64;20.78;50.0;100;64.65;43.67;65.0;63.58;ANALISAR_MELHOR;BAIXO;Score de 64/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444414829620 ;2025-12-13;RUA MARIO DAVIS LERNER, N. 222, Apto 23;JARDIM RIO BRANCO;SAO VICENTE;Apartamento;49.71;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414829620;206000.0;105832.8;48.63;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4200;3570;4830;208782.0;177464.7;240099.30000000002;350;85;1739.8500000000001;media;media;90;base_regional;media;50;105832.8;5291.64;2116.66;2200;1800;800.0;4000;10000;15000;0;14913.0;56121.3;161954.1;3510;165464.1;11900.57;3146.73;15047.3;198342.9;17831.5;10.78;1.8;16.58;50.0;100;84.65;40.3;65.0;67.74;ANALISAR_MELHOR;BAIXO;Score de 68/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555531005324 ;2025-12-13;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 35, BL III;VILA JOCKEI CLUBE;SAO VICENTE;Apartamento;50.78;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555531005324;187000.0;96071.52;48.63;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4200;3570;4830;213276.0;181284.6;245267.4;350;85;1777.3;media;media;72;base_regional;media;50;96071.52;4803.58;1921.43;1500;1200;800.0;4000;10000;15000;0;15234.0;54459.01;150530.53;3510;154040.53;12156.73;5462.24;17618.97;202612.2;30952.7;20.09;3.35;23.97;50.0;100;84.65;46.32;74.0;70.14;ANALISAR_MELHOR;BAIXO;Score de 70/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444408170639 ;2025-12-13;AVENIDA DOUTOR ESMERALDO SOARES TARQUINI, N. 924, Apto 13, PAV 02;PARQUE DAS BANDEIRAS;SAO VICENTE;Apartamento;50.7;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408170639;180000.0;93333.65;48.15;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4000;3400;4600;202800.0;172380.0;233220.0;320;80;1774.5;media;media;72;base_regional;media;50;93333.65;4666.68;1866.67;1500;1200;800.0;4000;10000;15000;0;15210.0;54243.35;147577.0;3300;150877.0;11559.6;4533.51;16093.11;192660.0;25689.89;17.03;2.84;21.69;50.0;100;84.65;44.18;74.0;69.61;ANALISAR_MELHOR;BAIXO;Score de 70/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787713456489 ;2025-12-13;RUA OSORIO FRANCO VILHENA, N. 1260, Apto 605, TR A;VILA NOVA CURUCA;SAO PAULO;Apartamento;32.59;1;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713456489;250000.0;130114.71;47.96;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4200;3570;4830;136878.0;116346.30000000002;157409.7;350;80;1140.65;media;media;90;base_regional;media;50;130114.71;6505.74;3903.44;2200;1800;800.0;4000;10000;15000;0;9777.0;53986.18;184100.89;3480;187580.89;7802.05;0;7802.05;130034.1;-65348.83;-34.84;-5.81;-44.26;50.0;100;64.65;0;65.0;52.66;ANALISAR_MELHOR;BAIXO;Score de 53/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 1444418501125 ;2025-12-13;AVENIDA PRESIDENTE KENNEDY, N. 14078, Apto 01,;SOLEMAR;PRAIA GRANDE;Apartamento;59.18;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418501125;229187.0;122617.29;46.5;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3825;5175;266310.0;226363.5;306256.5;380;95;2071.3;media;media;90;base_regional;media;50;122617.29;6130.86;2452.35;2200;1800;800.0;4000;10000;15000;0;17754.0;60137.21;182754.5;3750;186504.5;15179.67;7696.55;22876.22;252994.5;43613.78;23.38;3.9;26.28;50.0;100;54.65;47.23;65.0;61.97;ANALISAR_MELHOR;BAIXO;Score de 62/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8787706945615 ;2025-12-13;RUA PEDRA BRANCA DO AMAPARI, N. 16, Apto T05, TR 02;JARDIM DA LARANJEIRA (ZONA LESTE);SAO PAULO;Apartamento;49.58;2;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706945615;177000.0;97022.54;45.19;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4300;3655;4945;213194.0;181214.9;245173.1;360;85;1735.3;media;media;72;base_regional;media;50;97022.54;4851.13;2910.68;1500;1200;800.0;4000;10000;15000;0;14874.0;55135.81;152158.35;3570;155728.35;12152.06;5198.08;17350.14;202534.3;29455.81;18.91;3.15;23.11;50.0;100;64.65;43.88;74.0;64.53;ANALISAR_MELHOR;BAIXO;Score de 65/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555538453489 ;2025-12-13;RUA NOVENTA E CINCO, N. 275, Apto 31, PAV 3 BL 01;VILA ROSEIRA II;SAO PAULO;Apartamento;41.56;0;0;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538453489;179000.0;98118.84;45.19;2a Praca;;Venda Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;7000;5950;8049;290920.0;247282.0;334516.44;500;150;1454.6000000000001;media;media;72;base_regional;media;50;98118.84;4905.94;2943.57;1500;1200;800.0;4000;10000;15000;0;12468.0;52817.51;150936.35;4800;155736.35;16582.44;15608.28;32190.72;276374.0;88446.93;56.79;9.47;43.65;50.0;100;64.65;63.62;74.0;69.47;ANALISAR_MELHOR;BAIXO;Score de 69/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8444411641671 ;2025-12-13;RUA CORONEL SILVA TELES, N. 244, Apto 63, 6º ANDAR;PARQUE SAO VICENTE;SAO VICENTE;Apartamento;27.96;1;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411641671;170000.0;94493.47;44.42;2a Praca;;Venda Direta Online;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;4500;3600;5400;125820.0;100656.0;150984.0;380;90;978.6;media;media;72;estimativa_mercado;baixa;0;94493.47;4724.67;1889.87;1500;1200;800.0;4000;10000;15000;0;8388.0;47502.54;141996.01;3720;145716.01;7171.74;0;7171.74;119529.0;-33358.75;-22.89;-3.82;-21.91;50.0;100;84.65;10.53;74.0;61.2;ANALISAR_MELHOR;BAIXO;Score de 61/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
 8555522324161 ;2025-12-13;RUA CRUZ DO ESPIRITO SANTO, N. 1026, Apto 12, BL 08;VILA CHABILANDIA;SAO PAULO;Apartamento;39.57;2;1;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555522324161;145000.0;81018.46;44.13;2a Praca;;Licitação Aberta;ocupado;5000;10000;0;15000;5;;"Imovel ocupado (estimado); Debitos estimados";50.0;;;Hipoteca CEF;;0;;100;6500;5200;7800;257205.0;205764.0;308646.0;500;130;1384.95;media;media;72;estimativa_mercado;baixa;0;81018.46;4050.92;2430.55;1500;1200;800.0;4000;10000;15000;0;11871.0;50852.47;131870.93;4680;136550.93;14660.68;13969.97;28630.65;244344.75;79163.16;57.97;9.66;44.12;50.0;100;64.65;63.62;74.0;69.47;ANALISAR_MELHOR;BAIXO;Score de 69/100 indica potencial, mas requer validacao adicional. Pontos de atencao: Imovel ocupado - risco de demora na desocupacao. Sugerimos analise mais aprofundada antes de decidir.;Imovel ocupado - risco de demora na desocupacao;"Baixar e analisar edital completo; Solicitar matricula atualizada no cartorio; Verificar possibilidade de acordo com ocupante; Pesquisar historico do imovel; Visitar o imovel (exterior); Consultar advogado especialista em leiloes"
