id_imovel;endereco;bairro;cidade;valor_minimo_leilao;desconto_percentual;investimento_total_6m;cenario_preco_venda;cenario_lucro_liquido;cenario_roi_percentual;score_geral;recomendacao;nivel_risco
 1555519290270 ;RUA BARAO DE IGUAPE, N. 604, Apto 24,;LIBERDADE;SAO PAULO;135326.01;37.06;201063.09;408352.75;155370.22;77.27;77.12;COMPRAR;BAIXO
 8787712143126 ;AVENIDA CELSO GARCIA, N. 6011, Apto 1004, TORRE 03;TATUAPE;SAO PAULO;132970.97;39.56;194103.65;279798.75;58571.1;30.18;71.82;ANALISAR_MELHOR;BAIXO
 8555531005324 ;AVENIDA SENADOR SALGADO FILHO, N. 1050, Apto 35, BL III;VILA JOCKEI CLUBE;SAO VICENTE;96071.52;48.63;154040.53;202612.2;30952.7;20.09;70.14;ANALISAR_MELHOR;BAIXO
 8444408170639 ;AVENIDA DOUTOR ESMERALDO SOARES TARQUINI, N. 924, Apto 13, PAV 02;PARQUE DAS BANDEIRAS;SAO VICENTE;93333.65;48.15;150877.0;192660.0;25689.89;17.03;69.61;ANALISAR_MELHOR;BAIXO
 1444413820907 ;RUA ROBERTO DE CAMPOS BICUDO, N. 67, Apto 34,;CATIAPOA;SAO VICENTE;118961.0;43.36;182721.27;254832.75;48298.28;26.43;69.52;ANALISAR_MELHOR;BAIXO
 8555538453489 ;RUA NOVENTA E CINCO, N. 275, Apto 31, PAV 3 BL 01;VILA ROSEIRA II;SAO PAULO;98118.84;45.19;155736.35;276374.0;88446.93;56.79;69.47;ANALISAR_MELHOR;BAIXO
 8555522324161 ;RUA CRUZ DO ESPIRITO SANTO, N. 1026, Apto 12, BL 08;VILA CHABILANDIA;SAO PAULO;81018.46;44.13;136550.93;244344.75;79163.16;57.97;69.47;ANALISAR_MELHOR;BAIXO
 8444402793855 ;AVENIDA UTARO KANAI, N. 841, Apto 31C, CONJ HAB. JARDIM SÃO PAULO;GUAIANAZES;SAO PAULO;85466.19;38.96;141837.49;254286.5;82613.05;58.24;68.85;ANALISAR_MELHOR;BAIXO
 8444404177442 ;RUA VITALINA MARIA DE JESUS SCHALCH, N. 1206, Apto 52A, BLOCO II 5PAV;JARDIM SAO PAULO(ZONA LESTE);SAO PAULO;103448.74;38.24;164901.64;302513.25;101541.7;61.58;68.23;ANALISAR_MELHOR;BAIXO
 8787712580666 ;RUA NAZARE MENEZES, N. 727, Apto 227,;SANTO AMARO;SAO PAULO;125113.59;39.56;187858.68;340119.0;112075.2;59.66;68.18;ANALISAR_MELHOR;BAIXO
